count,from,to,timeframe,start,end
115,tolakbigotnkri,ninjacir3ng,37,1/13/2021 8:17,1/19/2021 23:07
116,tolakbigotnkri,suharso_m,37,1/13/2021 8:17,1/19/2021 23:07
117,syahrudin_alam,jokowi,38,1/13/2021 8:32,1/19/2021 23:07
118,fentika_95,jokowi,39,1/13/2021 8:33,1/19/2021 23:07
119,meilasandi,jokowi,40,1/13/2021 8:33,1/19/2021 23:07
120,aprillagiaza,jokowi,41,1/13/2021 22:10,1/19/2021 23:07
121,mataindonesia8,jokowi,42,1/13/2021 22:40,1/19/2021 23:07
122,gamers163174946,rustriningsih,43,1/13/2021 22:44,1/19/2021 23:07
123,gamers163174946,ganjarpranowo,43,1/13/2021 22:44,1/19/2021 23:07
124,gamers163174946,tajyasinmz,43,1/13/2021 22:44,1/19/2021 23:07
125,4lakmi,prabowo,44,1/13/2021 22:53,1/19/2021 23:07
126,4lakmi,armandageraldy,44,1/13/2021 22:53,1/19/2021 23:07
127,4lakmi,rizariri,44,1/13/2021 22:53,1/19/2021 23:07
128,4lakmi,airlangga_hrt,44,1/13/2021 22:53,1/19/2021 23:07
129,sandra_hut,jokowi,45,1/13/2021 22:55,1/19/2021 23:07
130,atikamou2,fachroriumar,46,1/13/2021 22:59,1/19/2021 23:07
131,atikamou2,yaqutcqoumas,46,1/13/2021 22:59,1/19/2021 23:07
132,atikamou2,airlangga_hrt,46,1/13/2021 22:59,1/19/2021 23:07
133,atikamou2,garinfilm,46,1/13/2021 22:59,1/19/2021 23:07
134,uun_beo,mkidkido,47,1/13/2021 23:07,1/19/2021 23:07
135,uun_beo,bbcbreaking,47,1/13/2021 23:07,1/19/2021 23:07
136,uun_beo,taufikhidayat_1,47,1/13/2021 23:07,1/19/2021 23:07
137,uun_beo,airlangga_hrt,47,1/13/2021 23:07,1/19/2021 23:07
138,kemenperin_ri,ppatk,48,1/13/2021 23:11,1/19/2021 23:07
139,ongadiyon,kompascom,49,1/13/2021 23:12,1/19/2021 23:07
140,ongadiyon,berllian_5,49,1/13/2021 23:12,1/19/2021 23:07
141,ongadiyon,pungkyafrcia,49,1/13/2021 23:12,1/19/2021 23:07
